State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.7821,5.1105,5.3212,5.4826,U.S Dollar,US Gallon,2026-08-19
Alaska,AK,Fairbanks,4.7343,5.0332,5.2147,5.414,U.S Dollar,US Gallon,2026-08-19
Alaska,AK,Juneau,4.6857,4.7857,4.8807,5.794,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Anniston-Oxford,3.6985,4.0838,4.5743,5.2709,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Auburn,3.7137,4.1199,4.5853,5.2792,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Birmingham,3.7043,4.2015,4.6162,5.277,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Daphne-Fairhope-Foley,3.6539,4.1229,4.559,5.2912,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Decatur,3.6621,4.1314,4.4988,5.1977,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Dothan,3.7461,4.2424,4.6395,5.3306,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Florence-Muscle Shoals,3.7385,4.1772,4.5664,5.2321,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Gadsden,3.6831,4.1622,4.5533,5.1634,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Huntsville,3.7063,4.2068,4.5597,5.2033,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Mobile,3.6553,4.1787,4.5754,5.307,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Montgomery,3.7473,4.2264,4.6924,5.2577,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Russell County,3.7383,4.2682,4.7428,5.2811,U.S Dollar,US Gallon,2026-08-19
Alabama,AL,Tuscaloosa,3.6529,4.1219,4.5473,5.2175,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Fayetteville-Springdale-Rogers,3.8618,4.3064,4.5959,5.1608,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Fort Smith (AR only),3.7665,4.2463,4.6036,5.138,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Hot Springs,3.5769,4.0786,4.4687,5.0972,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Jonesboro,3.6681,4.1603,4.4784,5.2604,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Little Rock-North Little Rock,3.709,4.1814,4.5825,5.1457,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Pine Bluff,3.6785,4.1159,4.6277,5.2208,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,Texarkana (AR only),3.6267,4.109,4.515,5.2096,U.S Dollar,US Gallon,2026-08-19
Arkansas,AR,West Memphis,3.6969,4.1214,4.6549,5.2385,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,East Valley,4.5365,4.9269,5.2277,5.7617,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Flagstaff,4.4799,4.7647,5.1377,5.6689,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Glendale,4.5434,4.9582,5.2703,5.7955,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Lake Havasu-Kingman,4.3443,4.6228,5.0223,5.6971,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Peoria,4.5281,4.9403,5.2445,5.8281,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Phoenix Proper,4.5288,4.9434,5.2553,5.7963,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Phoenix-Mesa,4.52,4.9289,5.2352,5.7766,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Pima County,4.3635,4.7573,5.0633,5.5813,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Prescott,4.4314,4.7375,5.0696,5.6641,U.S Dollar,US Gallon,2026-08-19
Arizona,AZ,Scottsdale,4.5792,4.9404,5.2637,5.7861,U.S Dollar,US Gallon,2026-08-19
