State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,-Current,-Yesterday,-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0146,5.0126,0.0019999999999997797,5.2951,5.2886,0.00649999999999995,5.5407,5.5365,0.0041999999999999815,6.6114,6.5914,0.019999999999999574,,,,U.S Dollar,US Gallon,2026-09-19
Alaska,AK,Fairbanks,5.0464,5.0425,0.0038999999999997925,5.3196,5.289,0.030600000000000627,5.519,5.507,0.012000000000000455,6.7008,6.6825,0.018299999999999983,,,,U.S Dollar,US Gallon,2026-09-19
Alaska,AK,Juneau,4.7601,4.753,0.007100000000000328,4.929,4.9115,0.01750000000000007,5.049,5.0265,0.022499999999999964,6.435,6.329,0.10599999999999987,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Anniston-Oxford,3.958,3.9613,-0.0032999999999998586,4.4017,4.4233,-0.021600000000000286,4.8511,4.8493,0.0017999999999993577,6.1304,6.1427,-0.012299999999999756,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Auburn,3.9989,3.9954,0.0034999999999998366,4.4688,4.4783,-0.009500000000000064,4.8831,4.8855,-0.002400000000000624,6.1306,6.1329,-0.0022999999999999687,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Birmingham,4.0043,3.9977,0.006599999999999717,4.4786,4.4684,0.010200000000000209,4.9004,4.8872,0.013200000000000323,6.159,6.1472,0.011800000000000033,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Daphne-Fairhope-Foley,3.9863,3.9853,0.0009999999999998899,4.4553,4.4776,-0.022299999999999542,4.8774,4.8685,0.008899999999999686,6.0925,6.0738,0.01869999999999994,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Decatur,3.994,3.9864,0.007600000000000051,4.4667,4.4773,-0.010599999999999277,4.8604,4.852,0.008399999999999963,6.0968,6.0943,0.002500000000000391,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Dothan,4.0342,4.0425,-0.008300000000000196,4.4801,4.4682,0.0118999999999998,4.8643,4.8527,0.011600000000000499,6.1655,6.179,-0.013500000000000512,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Florence-Muscle Shoals,4.0095,4.0048,0.004699999999999704,4.4543,4.4602,-0.00590000000000046,4.8372,4.84,-0.0027999999999996916,6.1563,6.1397,0.016599999999999504,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Gadsden,3.9824,3.983,-0.0005999999999999339,4.4536,4.4328,0.020799999999999486,4.8558,4.8622,-0.006399999999999295,6.063,6.0627,0.0002999999999993008,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Huntsville,4.0013,3.996,0.005299999999999638,4.4733,4.4757,-0.0023999999999997357,4.8355,4.83,0.005499999999999616,6.1498,6.1096,0.04019999999999957,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Mobile,3.9996,3.9971,0.0024999999999999467,4.479,4.4631,0.015900000000000247,4.8787,4.8529,0.025800000000000267,6.1109,6.1036,0.007299999999999862,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Montgomery,4.0196,4.0142,0.005399999999999849,4.4968,4.5045,-0.007699999999999818,4.9731,4.9659,0.007199999999999207,6.157,6.155,0.0019999999999997797,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Russell County,4.058,4.0548,0.0031999999999996476,4.5334,4.5334,0.0,5.0016,5.0065,-0.0049000000000001265,6.2574,6.2231,0.0343,,,,U.S Dollar,US Gallon,2026-09-19
Alabama,AL,Tuscaloosa,3.9979,3.9925,0.005399999999999849,4.4453,4.4833,-0.038000000000000256,4.8742,4.9253,-0.05109999999999992,6.1136,6.0793,0.0343,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Fayetteville-Springdale-Rogers,4.2026,4.181,0.021600000000000286,4.6412,4.5676,0.07360000000000078,4.9515,4.9063,0.04520000000000035,6.2445,6.146,0.09850000000000048,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Fort Smith (AR only),4.1419,4.1227,0.019199999999999662,4.6462,4.6212,0.025000000000000355,5.007,5.0023,0.004699999999999704,6.1635,6.1143,0.04919999999999991,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Hot Springs,4.0067,3.9815,0.025200000000000333,4.5357,4.5295,0.0062000000000006494,4.9928,4.9583,0.03449999999999953,6.1222,6.0896,0.032600000000000406,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Jonesboro,4.044,4.0872,-0.04320000000000057,4.4682,4.4758,-0.007599999999999163,4.8872,4.9054,-0.018200000000000216,6.2481,6.2346,0.013499999999999623,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Little Rock-North Little Rock,4.0287,4.0291,-0.00039999999999995595,4.5315,4.5309,0.000600000000000378,4.904,4.914,-0.009999999999999787,6.1499,6.1261,0.0237999999999996,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Pine Bluff,3.9931,3.957,0.03610000000000024,4.6445,4.5452,0.0992999999999995,4.9577,4.9219,0.035800000000000054,6.1955,6.1657,0.029799999999999827,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,Texarkana (AR only),4.0576,4.0508,0.006800000000000139,4.6563,4.6423,0.014000000000000234,4.9737,4.9246,0.049100000000000144,6.2103,6.1923,0.017999999999999794,,,,U.S Dollar,US Gallon,2026-09-19
Arkansas,AR,West Memphis,4.0751,4.0459,0.029200000000000337,4.553,4.5821,-0.02909999999999968,5.049,4.9726,0.07640000000000047,6.1845,6.1663,0.018200000000000216,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,East Valley,4.7652,4.7661,-0.0008999999999996788,5.1487,5.1438,0.0049000000000001265,5.4696,5.4766,-0.007000000000000561,6.4169,6.396,0.02090000000000014,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Flagstaff,4.7962,4.7804,0.015799999999999592,5.0261,5.0586,-0.03250000000000064,5.4603,5.427,0.03330000000000055,6.6786,6.5994,0.07920000000000016,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Glendale,4.6629,4.6656,-0.002700000000000813,5.0512,5.0429,0.008299999999999308,5.4029,5.3934,0.009500000000000064,6.4038,6.3992,0.0045999999999999375,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Lake Havasu-Kingman,4.7798,4.7765,0.0032999999999994145,5.0108,5.0198,-0.009000000000000341,5.3907,5.3396,0.05109999999999992,6.6398,6.6068,0.03300000000000036,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Peoria,4.6783,4.689,-0.010699999999999932,5.0633,5.0626,0.000700000000000145,5.3888,5.3933,-0.0045000000000001705,6.4251,6.4223,0.0027999999999996916,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Phoenix Proper,4.6904,4.696,-0.005599999999999383,5.081,5.0898,-0.008799999999999919,5.404,5.3996,0.004399999999999515,6.4242,6.4267,-0.002500000000000391,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Phoenix-Mesa,4.7061,4.7083,-0.002200000000000202,5.0968,5.0976,-0.0007999999999999119,5.4212,5.419,0.002200000000000202,6.4242,6.416,0.008199999999999541,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Pima County,4.4747,4.4948,-0.02009999999999934,4.8578,4.8744,-0.016599999999999504,5.1618,5.1745,-0.012699999999999712,6.2387,6.2319,0.006799999999999251,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Prescott,4.7198,4.7289,-0.009100000000000108,4.9433,4.9669,-0.023600000000000065,5.3316,5.3563,-0.024700000000000166,6.5412,6.5222,0.019000000000000128,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Scottsdale,4.8621,4.8604,0.0016999999999995907,5.2248,5.2047,0.02010000000000023,5.5695,5.5649,0.0045999999999999375,6.3951,6.3988,-0.0036999999999993705,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Sierra Vista-Douglas,4.3697,4.3778,-0.008099999999999774,4.7228,4.7205,0.0022999999999999687,4.9944,4.9593,0.03509999999999991,6.402,6.3846,0.017400000000000304,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Tucson,4.474,4.4941,-0.02010000000000023,4.8581,4.8758,-0.017699999999999605,5.1631,5.1755,-0.01240000000000041,6.2391,6.2329,0.006199999999999761,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,West Valley,4.6522,4.6584,-0.0062000000000006494,5.0524,5.0473,0.00509999999999966,5.3819,5.3782,0.0037000000000002586,6.3958,6.3899,0.00590000000000046,,,,U.S Dollar,US Gallon,2026-09-19
Arizona,AZ,Yuma,4.6815,4.6412,0.040299999999999336,4.9585,4.9106,0.047900000000000276,5.2962,5.2573,0.038899999999999935,6.5533,6.4959,0.05740000000000034,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Bakersfield,6.0713,6.0395,0.031799999999999606,6.2976,6.2679,0.02970000000000006,6.5208,6.4813,0.03950000000000031,8.2971,8.2564,0.04070000000000107,,,,U.S Dollar,US Gallon,2026-09-19
