State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0245,5.0146,0.00990000000000002,5.3319,5.2951,0.03680000000000039,5.5401,5.5407,-0.000600000000000378,6.6306,6.6114,0.01920000000000055,U.S Dollar,US Gallon,2026-09-20
Alaska,AK,Fairbanks,5.0431,5.0464,-0.0033000000000003027,5.324,5.3196,0.004399999999999515,5.5072,5.519,-0.011800000000000033,6.6976,6.7008,-0.0031999999999996476,U.S Dollar,US Gallon,2026-09-20
Alaska,AK,Juneau,4.9261,4.7601,0.16599999999999948,4.9423,4.929,0.01330000000000009,5.249,5.049,0.1999999999999993,6.3257,6.435,-0.10929999999999929,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Anniston-Oxford,3.9543,3.958,-0.0037000000000002586,4.3657,4.4017,-0.03599999999999959,4.8348,4.8511,-0.016299999999999315,6.1582,6.1304,0.027800000000000047,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Auburn,3.9983,3.9989,-0.0005999999999999339,4.4501,4.4688,-0.01869999999999994,4.8774,4.8831,-0.005700000000000038,6.1448,6.1306,0.014199999999999768,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Birmingham,4.0083,4.0043,0.004000000000000448,4.4722,4.4786,-0.006400000000000183,4.8958,4.9004,-0.0045999999999999375,6.1611,6.159,0.002100000000000435,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Daphne-Fairhope-Foley,3.9843,3.9863,-0.0019999999999997797,4.4538,4.4553,-0.0015000000000000568,4.8831,4.8774,0.005700000000000038,6.091,6.0925,-0.0015000000000000568,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Decatur,3.9925,3.994,-0.0015000000000000568,4.4917,4.4667,0.024999999999999467,4.829,4.8604,-0.03140000000000054,6.1187,6.0968,0.021899999999999586,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Dothan,4.0244,4.0342,-0.009800000000000253,4.434,4.4801,-0.04610000000000003,4.8817,4.8643,0.017400000000000304,6.1645,6.1655,-0.0009999999999994458,U.S Dollar,US Gallon,2026-09-20
Alabama,AL,Florence-Muscle Shoals,4.0081,4.0095,-0.00140000000000029,4.4454,4.4543,-0.008899999999999686,4.8477,4.8372,0.01049999999999951,6.1674,6.1563,0.011099999999999888,U.S Dollar,US Gallon,2026-09-20
