State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.0636,5.2974,5.5391,6.4412,U.S Dollar,US Gallon,2026-09-16
Alabama,AL,3.9446,4.4166,4.826,6.04,U.S Dollar,US Gallon,2026-09-16
Arkansas,AR,3.9699,4.4585,4.8416,5.964,U.S Dollar,US Gallon,2026-09-16
Arizona,AZ,4.6145,4.9765,5.2967,6.3097,U.S Dollar,US Gallon,2026-09-16
California,CA,6.044,6.268,6.4634,8.2668,U.S Dollar,US Gallon,2026-09-16
Colorado,CO,4.2634,4.6564,4.9912,5.8522,U.S Dollar,US Gallon,2026-09-16
Connecticut,CT,4.4616,5.0159,5.4444,6.2537,U.S Dollar,US Gallon,2026-09-16
District of Columbia,DC,4.3627,4.9879,5.401,6.2154,U.S Dollar,US Gallon,2026-09-16
Delaware,DE,4.3662,4.9303,5.2715,6.1578,U.S Dollar,US Gallon,2026-09-16
Florida,FL,4.1987,4.6818,5.0073,6.3272,U.S Dollar,US Gallon,2026-09-16
Georgia,GA,4.0616,4.5353,4.9606,6.3147,U.S Dollar,US Gallon,2026-09-16
Hawaii,HI,5.465,5.6956,5.9613,7.0656,U.S Dollar,US Gallon,2026-09-16
Iowa,IA,4.1081,4.3666,4.9498,6.1232,U.S Dollar,US Gallon,2026-09-16
Idaho,ID,4.8544,5.1365,5.4083,6.2408,U.S Dollar,US Gallon,2026-09-16
Illinois,IL,4.6256,5.2009,5.729,6.2611,U.S Dollar,US Gallon,2026-09-16
Indiana,IN,3.7515,4.3125,4.8486,6.2871,U.S Dollar,US Gallon,2026-09-16
Kansas,KS,3.9733,4.3256,4.6905,5.9681,U.S Dollar,US Gallon,2026-09-16
Kentucky,KY,3.9903,4.5611,4.9983,5.9651,U.S Dollar,US Gallon,2026-09-16
Louisiana,LA,3.9278,4.4206,4.8132,5.9188,U.S Dollar,US Gallon,2026-09-16
Massachusetts,MA,4.3614,4.9603,5.3807,6.1776,U.S Dollar,US Gallon,2026-09-16
Maryland,MD,4.2015,4.8175,5.1529,6.2245,U.S Dollar,US Gallon,2026-09-16
Maine,ME,4.3226,4.8689,5.3419,6.2859,U.S Dollar,US Gallon,2026-09-16
Michigan,MI,4.5434,5.1105,5.7137,6.342,U.S Dollar,US Gallon,2026-09-16
Minnesota,MN,4.2366,4.6892,5.1993,6.1832,U.S Dollar,US Gallon,2026-09-16
Missouri,MO,3.9745,4.3286,4.6888,5.9677,U.S Dollar,US Gallon,2026-09-16
Mississippi,MS,3.8955,4.3493,4.7345,5.9298,U.S Dollar,US Gallon,2026-09-16
Montana,MT,4.5153,4.8477,5.2053,6.0694,U.S Dollar,US Gallon,2026-09-16
North Carolina,NC,4.1167,4.5858,4.9824,6.089,U.S Dollar,US Gallon,2026-09-16
North Dakota,ND,4.1962,4.6411,5.1372,6.0651,U.S Dollar,US Gallon,2026-09-16
Nebraska,NE,4.1976,4.3847,4.9275,5.9793,U.S Dollar,US Gallon,2026-09-16
New Hampshire,NH,4.2928,4.8587,5.3015,6.1949,U.S Dollar,US Gallon,2026-09-16
New Jersey,NJ,4.425,4.976,5.2654,6.2224,U.S Dollar,US Gallon,2026-09-16
New Mexico,NM,4.4637,4.9084,5.2326,6.3142,U.S Dollar,US Gallon,2026-09-16
Nevada,NV,5.1516,5.4637,5.753,6.6025,U.S Dollar,US Gallon,2026-09-16
New York,NY,4.4269,4.9511,5.35,6.2611,U.S Dollar,US Gallon,2026-09-16
Ohio,OH,4.3475,4.9076,5.4377,6.3261,U.S Dollar,US Gallon,2026-09-16
Oklahoma,OK,4.0,4.4468,4.7387,5.8711,U.S Dollar,US Gallon,2026-09-16
Oregon,OR,5.1203,5.3584,5.6649,6.7157,U.S Dollar,US Gallon,2026-09-16
Pennsylvania,PA,4.4984,4.9463,5.3378,6.4122,U.S Dollar,US Gallon,2026-09-16
Rhode Island,RI,4.3877,5.0903,5.5202,6.1567,U.S Dollar,US Gallon,2026-09-16
South Carolina,SC,4.0832,4.5571,4.9555,6.1219,U.S Dollar,US Gallon,2026-09-16
South Dakota,SD,4.1734,4.4055,4.927,5.9905,U.S Dollar,US Gallon,2026-09-16
Tennessee,TN,3.997,4.493,4.8951,6.0147,U.S Dollar,US Gallon,2026-09-16
Texas,TX,3.8788,4.3848,4.7598,5.9102,U.S Dollar,US Gallon,2026-09-16
Utah,UT,4.8071,5.0877,5.3386,6.1429,U.S Dollar,US Gallon,2026-09-16
Virginia,VA,4.1466,4.6301,5.0062,6.2027,U.S Dollar,US Gallon,2026-09-16
Vermont,VT,4.419,4.9356,5.4428,6.2295,U.S Dollar,US Gallon,2026-09-16
Washington,WA,5.5789,5.8348,6.0927,7.3132,U.S Dollar,US Gallon,2026-09-16
Wisconsin,WI,4.1078,4.6499,5.2504,6.1275,U.S Dollar,US Gallon,2026-09-16
West Virginia,WV,4.1366,4.5807,5.0213,6.0207,U.S Dollar,US Gallon,2026-09-16
Wyoming,WY,4.4829,4.7896,5.089,5.9393,U.S Dollar,US Gallon,2026-09-16
